name,smiles,number_ofC,molecular_weight,density,molar_volume,refractive_index,dielectric_constant,dipole_moment,melting_point,boiling_point,vapour_pressure,surface_tension,viscosity,logP,Î´,specific_heat_capacity,Tc,Pc,Vc,perron_frobenius,fiedler_eigenvalue,compression_ratio,information_content
ethane,,,30.07,,55.1,1.212,,0.0,-182,-89,3.85,,,,,,,,,,,,
propane,,,44.1,,75.9,1.34,1.6,0.08,-188,-45,,,,,,,,,,,,,
butane,,,58.12,,100.4,1.356,1.77,0.0,-138,1,214,12.46,,,,,,,,,,,
pentane,,,72.15,,115.2,1.358,1.8,0.0,-129,36,420,15.48,0.23,,7.0,40.3,,,,,,,
isopentane,,,72.15,,117.5,1.354,1.83,0.12,-160,28,79,,,,6.8,,,,,,,,
"2,2-dimethylpropane",,,72.15,,117.7,1.351,1.91,0.0,-17,9,146,,,,,,,,,,,,
hexane,,,86.18,,130.7,1.375,1.9,0.08,-97,69,124,17.91,0.31,,6.9,42.0,,,,,,,
2-methylpentane,,,86.18,,131.3,1.372,1.89,0.0,-154,60,,,,,,,,,,,,,
3-methylpentane,,,86.18,,129.8,1.377,1.89,,-110,63,21,,,,,,,,,,,,
"2,2-dimethylbutane",,,86.18,,132.7,1.369,1.87,0.0,-98,50,37,,,,,,,,,,,,
"3,3-dimethylbutane",,,86.18,,130.2,1.375,1.89,,-129,58,,,,,,,,,,,,,
heptane,,,100.2,,146.6,1.388,1.92,0.0,-90,98,36,20.3,0.42,,7.5,52.0,,,,,,,
2-methylhexane,,,100.2,,147.6,1.385,1.92,0.0,-118,90,5,,,,,,,,,,,,
3-methylhexane,,,100.2,,145.2,1.389,1.93,0.0,-119,92,,,,,,,,,,,,,
"2,2-dimethylpentane",,,100.2,,148.8,1.382,1.92,0.0,-125,79,,,,,,,,,,,,,
"3,3-dimethylpentane",,,100.2,,144.6,1.391,1.94,0.0,-135,86,,,,,,,,,,,,,
"2,3-dimethylpentane",,,100.2,,144.3,1.392,1.94,0.0,-135,90,,,,,,,,,,,,,
"2,4-dimethylpentane",,,100.2,,148.9,1.382,1.91,0.0,-119,81,,,,,,,,,,,,,
3-ethylpentane,,,100.2,,143.4,1.394,1.94,0.0,-119,93,,,,,,,,,,,,,
"2,2,3-trimethylbutane",,,100.2,,145.2,1.389,1.93,0.0,-25,81,,,,,,,,,,,,,
octane,,,114.23,,163.4,1.395,1.96,0.0,-57,126,12,21.7,0.5,,7.6,,,,,,,,
"2,2-dimethylhexane",,,114.23,,164.2,1.393,,0.0,-121,107,,,,,,,,,,,,,
"2,3-dimethylhexane",,,114.23,,160.3,1.401,,,,116,,,,,,,,,,,,,
"2,4-dimethylhexane",,,114.23,,163.4,1.396,,,,109,,,,,,,,,,,,,
"2,5-dimethylhexane",,,114.23,,164.6,1.393,,0.0,-91,109,,19.57,,,,,,,,,,,
"3,3-dimethylhexane",,,114.23,,161.2,1.399,,,-126,112,,,,,,,,,,,,,
"3,4-dimethylhexane",,,114.23,,158.7,1.404,,,,117,,21.72,,,,,,,,,,,
3-ethylhexane,,,114.23,,160.4,1.402,,,,118,,,,,,,,,,,,,
3-ethyl-2-methylpentane,,,114.23,,159.1,1.403,,,-115,116,,,,,,,,,,,,,
3-ethyl-3-methylpentane,,,114.23,,157.4,1.408,,,-91,118,,,,,,,,,,,,,
2-methylheptane,,,114.23,,163.7,1.395,,,-109,118,,,,,,,,,,,,,
3-methylheptane,,,114.23,,161.9,1.398,,,-121,119,,,,,,,,,,,,,
4-methylheptane,,,114.23,,159.5,1.398,,,-121,118,,,,,,,,,,,,,
"2,2,3-trimethylpentane",,,114.23,,159.5,1.403,1.96,,-112,110,,,,,,,,,,,,,
"2,2,4-trimethylpentane",,,114.23,,165.1,1.391,1.94,0.0,-107,99,41,18.77,0.5,,7.4,55.6,,,,,,,
"2,3,3-trimethylpentane",,,114.23,,157.4,1.408,,,-109,115,,,,,,,,,,,,,
"2,3,4-trimethylpentane",,,114.23,,158.8,1.405,,,-110,113,,,,,,,,,,,,,
nonane,,,128.26,,179.6,1.403,1.96,0.07,-51,151,4,22.9,0.67,,7.6,71.0,,,,,,,
"3,3-diethylpentane",,,128.26,,170.4,1.421,,,-41,139,,,,,,,,,,,,,
"2,3-dimethylheptane",,,128.26,,177.3,1.409,,,-116,141,,,,,,,,,,,,,
"2,4-dimethylheptane",,,128.26,,179.2,1.402,1.89,,,134,,,,,,,,,,,,,
"2,5-dimethylheptane",,,128.26,,179.5,1.403,1.89,,,136,,,,,,,,,,,,,
"2,6-dimethylheptane",,,128.26,,180.7,1.401,1.99,,-103,135,,20.78,,,,,,,,,,,
"3,3-dimethylheptane",,,128.26,,175.6,1.41,,,,137,,,,,,,,,,,,,
"3,4-dimethylheptane",,,128.26,,175.4,1.411,,,,141,,,,,,,,,,,,,
"3,5-dimethylheptane",,,128.26,,177.4,1.407,,,,136,,,,,,,,,,,,,
"3-ethyl-2,3-dimethylpentane",,,128.26,,170.1,1.419,,,-117,142,,,,,,,,,,,,,
3-ethylheptane,,,128.26,,176.7,1.409,,,-115,119,,,,,,,,,,,,,
4-ethylheptane,,,128.26,,173.2,1.416,,,,141,,,,,,,,,,,,,
3-ethyl-2-methylhexane,,,128.26,,175.5,1.412,,,,138,,,,,,,,,,,,,
3-ethyl-4-methylhexane,,,128.26,,172.9,1.416,,,,140,,,,,,,,,,,,,
2-methyloctane,,,128.26,,180.1,1.403,1.97,,-80,143,,,,,,,,,,,,,
3-methyloctane,,,128.26,,177.9,1.407,,,-108,144,,,,,,,,,,,,,
4-methyloctane,,,128.26,,177.6,1.401,1.97,,-113,142,,,,,,,,,,,,,
"2,2,3,3-tetramethylpentane",,,128.26,,169.5,1.424,,,-10,140,,,,,,,,,,,,,
"2,2,3,4-tetramethylpentane",,,128.26,,173.6,1.415,,,-121,133,,,,,,,,,,,,,
"2,2,4,4-tetramethylpentane",,,128.26,,178.5,1.407,,,-67,122,,,,,,,,,,,,,
"2,3,3,4-tetramethylpentane",,,128.26,,169.9,1.422,,,-102,142,,,,,,,,,,,,,
"2,2,5-trimethylhexane",,,128.26,,181.3,1.397,,,-106,124,,,,,,,,,,,,,
"2,3,3-trimethylhexane",,,128.26,,173.8,1.414,,,-117,138,,,,,,,,,,,,,
"2,3,4-trimethylhexane",,,128.26,,173.5,1.414,,,,139,,,,,,,,,,,,,
"2,3,5-trimethylhexane",,,128.26,,178.9,1.405,,,-128,131,,,,,,,,,,,,,
"2,4,4-trimethylhexane",,,128.26,,177.2,1.407,,,-113,131,,,,,,,,,,,,,
"3,3,4-trimethylhexane",,,128.26,,172.1,1.418,,,-101,140,,,,,,,,,,,,,
