name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio
methane,C,1,16.04,0.424,37.8,-183.0,-164,-82.0,45.6,99.0,1.09,0.0,0.0,-0.0,1.0
ethane,CC,2,30.07,0.546,55.1,-182.0,-89,32.0,39.6,148.0,1.81,1.0,2.0,-0.0,2.0
propane,CCC,3,44.1,0.581,75.9,-188.0,-45,97.0,42.0,203.0,2.36,1.41,1.0,0.637,2.25
butane,CCCC,4,58.12,0.579,100.4,-138.0,1,153.0,36.0,255.0,2.89,1.62,0.586,0.693,2.67
isobutane,CC(C)C,4,58.12,0.593,98.0,-145.0,-12,135.0,36.0,263.0,2.76,1.73,1.0,0.562,2.67
pentane,CCCCC,5,72.15,0.626,115.2,-129.0,36,197.0,32.7,304.0,3.23,1.73,0.382,0.673,3.12
isopentane,CC(C)CC,5,72.15,0.614,117.5,-160.0,28,188.0,32.9,308.0,2.3,1.85,0.519,0.95,3.12
"2,2-dimethylpropane",CC(C)(C)C,5,72.15,0.613,117.7,-17.0,9,159.0,33.0,303.0,3.11,2.0,1.0,0.5,3.12
hexane,CCCCCC,6,86.18,0.659,130.7,-97.0,69,234.0,29.9,370.0,3.8,1.8,0.268,0.637,3.6
2-methylpentane,CC(C)CCC,6,86.18,0.659,131.3,-154.0,60,225.0,29.9,367.0,3.21,1.9,0.325,1.01,3.6
3-methylpentane,CCC(C)CC,6,86.18,0.664,129.8,-110.0,63,232.0,30.8,367.0,3.6,1.93,0.382,1.01,3.6
"2,2-dimethylbutane",CC(C)(C)CC,6,86.18,0.649,132.7,-98.0,50,216.0,30.6,359.0,3.82,2.07,0.486,0.868,3.6
"3,3-dimethylbutane",CC(C)(C)CC,6,86.18,0.662,130.2,-129.0,58,227.0,30.9,357.95,3.42,2.07,0.486,0.868,3.6
heptane,CCCCCCC,7,100.2,0.684,146.6,-90.0,98,267.0,27.0,432.0,3.5,1.85,0.198,0.598,4.08
2-methylhexane,CC(C)CCCC,7,100.2,0.679,147.6,-118.0,90,258.0,27.2,428.05,3.71,1.93,0.225,1.0,4.08
3-methylhexane,CCC(C)CCC,7,100.2,0.69,145.2,-119.0,92,262.0,28.1,418.03,,1.97,0.26,1.0,4.08
"2,2-dimethylpentane",CC(C)(C)CCC,7,100.2,0.674,148.8,-125.0,79,248.0,28.4,416.03,,2.1,0.296,0.956,4.08
"3,3-dimethylpentane",CCC(C)(C)CC,7,100.2,0.693,144.6,-135.0,86,263.0,30.0,419.13,,2.14,0.382,0.956,4.08
"2,3-dimethylpentane",CC(C)C(C)CC,7,100.2,0.694,144.3,-135.0,90,264.0,29.2,405.0,,2.05,0.322,0.956,4.08
"2,4-dimethylpentane",CC(C)CC(C)C,7,100.2,0.673,148.9,-119.0,81,247.0,27.4,420.03,,2.0,0.268,0.956,4.08
3-ethylpentane,CCC(CC)CC,7,100.2,0.699,143.4,-119.0,93,267.0,28.6,416.03,,2.0,0.382,1.0,4.08
"2,2,3-trimethylbutane",CC(C)(C)C(C)C,7,100.2,0.69,145.2,-25.0,81,258.0,29.7,393.9,,2.18,0.398,0.796,4.08
octane,CCCCCCCC,8,114.23,0.699,163.4,-57.0,126,295.0,24.6,492.0,7.79,1.88,0.152,0.562,4.57
"2,2-dimethylhexane",CC(C)(C)CCCC,8,114.23,0.696,164.2,-121.0,107,279.0,25.6,466.93,,2.11,0.202,0.974,4.57
"2,3-dimethylhexane",CC(C)C(C)CCC,8,114.23,0.712,160.3,,116,293.0,26.6,460.99,,2.07,0.224,1.04,4.57
"2,4-dimethylhexane",CC(C)CC(C)CC,8,114.23,0.699,163.4,,109,282.0,24.9,466.01,,2.04,0.214,1.04,4.57
"2,5-dimethylhexane",CC(C)CCC(C)C,8,114.23,0.694,164.6,-91.0,109,279.0,25.0,478.01,4.12,2.0,0.186,1.04,4.57
"3,3-dimethylhexane",CCC(C)(C)CCC,8,114.23,0.709,161.2,-126.0,112,278.0,22.9,450.02,,2.16,0.254,0.974,4.57
"3,4-dimethylhexane",CCC(C)C(C)CC,8,114.23,0.72,158.7,,117,298.0,27.5,451.96,,2.1,0.251,1.04,4.57
3-ethylhexane,CCC(CC)CCC,8,114.23,0.712,160.4,,118,294.0,26.2,466.01,,2.03,0.243,0.974,4.57
3-ethyl-2-methylpentane,CC(C)C(CC)CC,8,114.23,0.718,159.1,-115.0,116,295.0,27.5,450.02,,2.1,0.306,1.04,4.57
3-ethyl-3-methylpentane,CCC(CC)(C)CC,8,114.23,0.726,157.4,-91.0,118,305.0,28.9,434.94,,2.19,0.382,0.974,4.57
2-methylheptane,CC(C)CCCCC,8,114.23,0.698,163.7,-109.0,118,288.0,24.8,488.06,,1.95,0.167,0.974,4.57
3-methylheptane,CCC(C)CCCC,8,114.23,0.706,161.9,-121.0,119,292.0,25.6,478.01,,1.99,0.186,0.974,4.57
4-methylheptane,CCCC(C)CCC,8,114.23,0.716,159.5,-121.0,118,290.0,25.6,475.95,,2.0,0.198,0.974,4.57
"2,2,3,3-tetramethylbutane",CC(C)(C)C(C)(C)C,8,114.23,0.722,158.2,97.0,106,271.0,24.5,478.46,,2.3,0.354,0.562,4.57
"2,2,3-trimethylpentane",CC(C)(C)C(C)CC,8,114.23,0.716,159.5,-112.0,110,294.0,28.2,437.0,,2.21,0.289,1.07,4.57
"2,2,4-trimethylpentane",CC(C)(C)CC(C)C,8,114.23,0.692,165.1,-107.0,99,271.0,25.6,482.0,4.08,2.15,0.238,1.07,4.57
"2,3,3-trimethylpentane",CC(C)C(C)(C)CC,8,114.23,0.726,157.4,-109.0,115,303.0,28.9,433.0,,2.22,0.319,1.07,4.57
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,8,114.23,0.72,158.8,-110.0,113,295.0,27.6,446.94,,2.14,0.268,0.662,4.57
nonane,CCCCCCCCC,9,128.26,0.714,179.6,-51.0,151,322.0,22.8,555.0,5.65,1.9,0.121,0.53,5.06
"3,3-diethylpentane",CCC(CC)(CC)CC,9,128.26,0.753,170.4,-41.0,139,324.0,22.6,,,2.24,0.382,0.965,5.06
"2,4-dimethyl-3-ethylpentane",CCC(CC)CC,9,128.26,0.738,173.8,-122.0,137,,,,,2.0,0.382,1.0,4.08
"2,2-dimethylheptane",CC(C)(C)CCCCC,9,128.26,,,-113.0,133,295.0,20.6,,,2.12,0.149,0.965,5.06
"2,3-dimethylheptane",CC(C)C(C)CCCC,9,128.26,0.724,177.3,-116.0,141,309.0,21.9,,,2.08,0.163,1.06,5.06
"2,4-dimethylheptane",CC(C)CC(C)CCC,9,128.26,0.716,179.2,,134,298.0,21.3,,,2.06,0.166,1.06,5.06
"2,5-dimethylheptane",CC(C)CCC(C)CC,9,128.26,0.715,179.5,,136,301.0,21.2,,,2.04,0.154,1.06,5.06
"2,6-dimethylheptane",CC(C)CCCC(C)C,9,128.26,0.71,180.7,-103.0,135,304.0,20.8,,,2.0,0.139,1.06,5.06
"3,3-dimethylheptane",CCC(C)(C)CCCC,9,128.26,0.73,175.6,,137,304.0,21.1,,,2.16,0.177,0.965,5.06
"3,4-dimethylheptane",CCC(C)C(C)CCC,9,128.26,0.731,175.4,,141,311.0,22.3,,,2.11,0.186,1.06,5.06
"3,5-dimethylheptane",CCC(C)CC(C)CC,9,128.26,0.723,177.4,,136,302.0,21.5,,,2.07,0.173,1.06,5.06
"4,4-dimethylheptane",CCCC(C)(C)CCC,9,128.26,0.734,,,135,302.0,21.0,,,2.18,0.198,0.965,5.06
"3-ethyl-2,2-dimethylpentane",CCC(CC)CC,9,128.26,,,-99.0,134,302.0,21.2,,,2.0,0.382,1.0,4.08
"3-ethyl-2,3-dimethylpentane",CCC(CC)CC,9,128.26,0.754,170.1,-117.0,142,316.0,21.6,,,2.0,0.382,1.0,4.08
"3-ethyl-2,4-dimethylpentane",CCC(CC)CC,9,128.26,,,0.0,137,307.0,21.5,,,2.0,0.382,1.0,4.08
3-ethylheptane,CCC(CC)CCCC,9,128.26,0.726,176.7,-115.0,119,313.0,22.2,,,2.04,0.171,0.937,5.06
4-ethylheptane,CCCC(CC)CCC,9,128.26,0.741,173.2,,141,311.0,22.4,,,2.05,0.198,0.937,5.06
3-ethyl-2-methylhexane,CC(C)C(CC)CCC,9,128.26,0.731,175.5,,138,307.0,21.8,443.0,,2.12,0.222,1.06,5.06
3-ethyl-3-methylhexane,CCC(CC)(C)CCC,9,128.26,0.741,173.1,,141,312.0,21.6,455.0,,2.21,0.24,0.965,5.06
3-ethyl-4-methylhexane,CCC(CC)C(C)CC,9,128.26,0.742,172.9,,140,312.0,22.4,,,2.14,0.231,1.06,5.06
4-ethyl-2-methylhexane,CC(C)CC(CC)CC,9,128.26,,,,134,300.0,21.2,,,2.08,0.195,1.06,5.06
2-methyloctane,CC(C)CCCCCC,9,128.26,0.712,180.1,-80.0,143,311.0,21.8,478.46,,1.96,0.129,0.937,5.06
3-methyloctane,CCC(C)CCCCC,9,128.26,0.721,177.9,-108.0,144,314.0,22.2,478.46,,2.0,0.14,0.937,5.06
4-methyloctane,CCCC(C)CCCC,9,128.26,0.722,177.6,-113.0,142,311.0,22.1,478.46,,2.02,0.151,0.937,5.06
"2,2,3,3-tetramethylpentane",CC(C)(C)C(C)(C)CC,9,128.26,0.757,169.5,-10.0,140,316.0,22.0,,,2.33,0.282,0.849,5.06
"2,2,3,4-tetramethylpentane",CC(C)(C)C(C)C(C)C,9,128.26,0.739,173.6,-121.0,133,302.0,21.1,,,2.26,0.238,0.849,5.06
"2,2,4,4-tetramethylpentane",CC(C)(C)CC(C)(C)C,9,128.26,0.719,178.5,-67.0,122,283.0,19.5,,,2.24,0.209,0.849,5.06
"2,3,3,4-tetramethylpentane",CC(C)C(C)(C)C(C)C,9,128.26,0.755,169.9,-102.0,142,317.0,21.8,,,2.29,0.268,0.849,5.06
"2,2,3-trimethylhexane",CC(C)(C)C(C)CCC,9,128.26,,,,134,301.0,21.1,,,2.22,0.202,1.15,5.06
"2,2,4-trimethylhexane",CC(C)(C)CC(C)CC,9,128.26,0.716,179.1,-120.0,127,289.0,20.4,,,2.17,0.188,1.15,5.06
"2,2,5-trimethylhexane",CC(C)(C)CCC(C)C,9,128.26,0.708,181.3,-106.0,124,282.0,19.8,,,2.14,0.165,1.15,5.06
"2,3,3-trimethylhexane",CC(C)C(C)(C)CCC,9,128.26,0.738,173.8,-117.0,138,308.0,21.1,,,2.24,0.223,1.15,5.06
"2,3,4-trimethylhexane",CC(C)C(C)C(C)CC,9,128.26,0.739,173.5,,139,311.0,22.0,,,2.16,0.212,0.937,5.06
"2,3,5-trimethylhexane",CC(C)C(C)CC(C)C,9,128.26,0.717,178.9,-128.0,131,295.0,20.8,,,2.12,0.183,0.937,5.06
"2,4,4-trimethylhexane",CC(C)CC(C)(C)CC,9,128.26,0.724,177.2,-113.0,131,295.0,20.6,,,2.19,0.204,1.15,5.06
"3,3,4-trimethylhexane",CCC(C)(C)C(C)CC,9,128.26,0.745,172.1,-101.0,140,312.0,21.4,,,2.25,0.243,1.15,5.06
